taxa,3329_11-01-16,6100_12-27-16,1894_04-24-18,6070_08-30-17,6037_07-10-18,3660_09-20-16,5702_04-26-16,8118_02-09-16,1320_03-23-16,4489_11-17-15,4374_02-28-17,8186_11-22-16,6995_03-15-16,5338_08-04-17,0010_07-09-16,7786_11-08-16,7953_05-15-18,5287_10-19-16,4759_08-16-16,5913_01-24-17,4100_01-03-17,1203_01-23-17,4657_08-23-16,4582_05-23-17,9059_02-02-16,0963_05-23-17,1985_06-07-16,9591_03-14-17,1709_09-19-17,9120_02-09-16,8120_05-22-18,7768_08-15-17,3369_08-07-18,3898_12-27-16,8633_04-19-16,3227_08-15-17,3899_06-13-18,8507_05-03-16,2651_11-22-16,6753_10-30-18,4471_01-03-17,1593_09-12-17,7005_02-14-18,5975_07-18-17,5890_09-27-16,8012_12-09-15,9190_03-14-18,5160_07-19-16,6673_12-07-16,8344_05-02-17,9176_03-29-16,7551_11-02-16,3836_02-27-17,5432_01-27-16,2045_08-21-17,4954_11-23-16,3315_06-07-16,0354_01-10-17,0904_07-10-17,7660_05-01-18,4018_01-05-16,3321_03-08-16,3921_07-18-17,5600_07-10-17,0677_08-19-17,4546_04-26-16,9371_10-16-18,4913_03-07-17,3955_08-25-17,8158_04-12-16,3545_12-13-16,2409_08-02-16
Candidatus Ishikawaella,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0
Cronobacter,49,31,24,59,40,24,154,31,86,573,283,134,74,37,2,2,23,16,64,611,335,7,2,124,439,4,116,350,92,51,158,75,94,263,58,139,80,10,143,12,12,36,572,149,65,2,61,123,60,15,0,82,68,482,94,17,62,17,41,81,27,27,85,140,72,65,105,3064,67,175,36,4
Mangrovibacter,0,0,2,0,0,0,2,0,7,51,26,10,2,2,0,0,0,0,0,188,13,0,0,2,44,0,0,3,0,0,0,0,0,2,0,0,0,0,3,1,0,1,37,3,1,0,0,16,0,0,0,0,4,3,3,0,1,0,0,1,0,0,1,9,9,2,0,202,0,1,0,1
Gibbsiella,1,0,2,0,0,0,0,0,3,18,18,3,3,1,0,0,0,0,0,4,4,0,0,5,18,0,0,3,0,0,2,0,0,3,0,10,0,0,5,1,0,0,23,3,2,0,1,4,0,0,0,0,1,31,2,0,0,0,0,2,0,8,2,4,1,0,3,181,2,1,0,0
Candidatus Moranella,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
Lelliottia,0,0,15,0,2,0,10,0,16,170,81,44,4,0,6,2,0,0,0,103,52,0,2,6,161,0,2,5,0,0,0,1,0,63,1,9,0,0,24,2,0,1,129,19,5,0,2,55,2,0,0,9,3,37,14,0,1,0,0,9,0,0,3,21,1,0,0,1078,1,16,0,0
Pluralibacter,2,0,31,5,1,1,14,0,436,263,119,51,124,0,8,8,1,0,0,160,76,3,2,15,241,1,3,71,0,0,4,9,7,35,2,31,3,1,40,9,3,0,358,66,0,323,4,74,0,5,0,8,5,101,4,2,3,0,0,35,0,2,3,29,27,325,1,2395,2,9,0,3
Kosakonia,0,1,1,5,2,0,8,1,18,391,219,164,2,8,0,0,2,0,1,231,102,2,0,16,241,1,10,23,1,3,5,94,58,23,0,26,2,0,48,2,0,1,238,34,6,0,3,74,0,0,1,6,5,54,19,0,3,0,0,18,5,0,3,17,27,1,1,1284,47,121,0,0
Shimwellia,1,0,0,0,0,0,24,0,4,63,37,9,12,0,0,1,0,0,1,25,11,0,0,1,42,0,1,5,0,1,1,0,0,1,0,12,0,0,3,0,0,0,37,3,0,0,0,8,0,1,0,0,0,2,0,2,0,0,0,1,0,0,0,13,0,0,0,318,0,0,0,0
Rosenbergiella,0,0,0,0,0,0,0,0,1,7,4,1,1,0,0,0,0,0,0,2,1,0,0,0,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,0,1,0,0
Pseudocitrobacter,0,0,2,0,0,0,0,0,5,60,48,28,0,0,0,0,1,1,0,33,16,1,0,2,91,0,0,2,1,0,0,0,0,0,0,4,0,0,11,0,0,0,71,3,1,0,0,20,0,0,0,0,2,5,1,0,0,1,0,66,0,0,0,2,2,0,0,399,0,2,0,21
Franconibacter,0,0,5,1,0,1,28,0,12,157,72,34,5,0,0,1,0,0,0,69,48,0,0,3,129,1,2,16,2,0,12,1,0,2,0,22,0,0,9,2,0,1,150,11,1,0,1,36,0,0,0,6,1,20,19,0,0,1,0,2,1,0,7,12,10,0,0,806,0,5,0,0
Siccibacter,0,0,5,0,0,0,22,0,16,170,61,24,1,0,0,0,0,0,0,49,42,0,1,11,490,0,0,6,0,0,6,8,5,7,0,17,0,0,18,2,0,0,110,10,3,0,1,31,0,1,1,0,3,24,3,0,0,0,0,2,1,0,1,36,13,0,1,1026,2,4,0,0
Izhakiella,0,0,3,1,0,0,31,0,0,59,37,10,0,0,0,0,1,0,0,16,10,0,0,8,47,0,0,4,0,0,0,0,1,4,0,3,3,0,6,0,0,0,41,4,2,0,0,8,0,1,0,0,0,12,8,0,0,0,0,1,1,1,0,4,30,2,0,279,2,7,0,0
Enterobacillus,0,0,7,3,0,0,23,0,3,49,22,11,1,1,0,0,0,0,0,8,8,0,0,10,29,0,0,3,0,0,4,0,5,2,0,2,0,0,6,1,0,0,31,16,0,0,0,12,0,1,0,1,14,25,1,0,0,0,0,0,1,0,2,8,0,0,12,168,0,1,0,0
Atlantibacter,0,0,0,0,0,0,0,0,2,8,2,0,0,0,0,0,0,0,0,9,1,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,9,0,1,0,0,57,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0
Metakosakonia,0,1,4,2,0,0,20,0,7,125,47,12,1,14,0,0,0,0,0,42,25,0,0,1,71,0,0,2,1,0,1,0,2,4,1,4,0,0,8,0,1,0,57,18,3,0,4,16,3,0,0,8,0,9,2,0,0,0,0,1,0,0,2,26,16,0,0,538,2,6,0,1
Limnobaculum,0,0,0,0,0,0,0,0,2,19,7,2,27,0,0,1,0,0,0,2,3,0,0,0,19,0,0,1,0,1,0,0,0,1,1,3,0,0,1,1,2,0,5,1,0,0,0,4,0,0,0,0,1,2,1,0,0,0,0,1,1,0,0,0,1,0,0,27,1,0,0,0
unclassified Enterobacteriaceae (miscellaneous),12,3,29,12,1,0,124,2,119,1115,578,245,33,69,8,5,5,0,1,3470,339,5,4,90,1109,1,144,132,2,4,5,5,12,66,7,91,18,3,126,9,16,2,1058,252,16,1,23,276,21,3,0,30,18,198,47,3,2,1,1,278,6,0,42,182,139,5,2,11481,22,115,1,38
Candidatus Purcelliella,0,0,0,1,0,0,0,0,0,0,2,0,21,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,1,0,0,5,0,0,1,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0
Candidatus Annandia,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Candidatus Tachikawaea,0,0,0,0,0,2,0,0,0,0,0,0,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0
